site_name,Latitude,Longitude
Cranberry Cove,44.5001,-63.925
Eastern Passage,44.6086,-63.4936
Bear River,44.6148,-65.6774
Wolfville,45.1596,-64.3581
Martinique,44.6907,-63.1397
